x_train,y_train
"[0.41398865784499045, 0.40453686200378064, 0.5311909262759923]",7.699999999999998
"[0.40453686200378064, 0.5311909262759923, 0.5085066162570887]",-1.099999999999999
"[0.5311909262759923, 0.5085066162570887, 0.3421550094517958]",-4.5
"[0.5085066162570887, 0.3421550094517958, 0.27788279773156893]",-1.0000000000000009
"[0.3421550094517958, 0.27788279773156893, 0.3440453686200377]",-1.099999999999999
"[0.27788279773156893, 0.3440453686200377, 0.3421550094517958]",-2.6999999999999997
"[0.3440453686200377, 0.3421550094517958, 0.3119092627599243]",-0.199999999999999
"[0.3421550094517958, 0.3119092627599243, 0.35916824196597347]",-6.6
"[0.3119092627599243, 0.35916824196597347, 0.23818525519848766]",-4.6000000000000005
"[0.35916824196597347, 0.23818525519848766, 0.27599243856332695]",-3.100000000000001
"[0.23818525519848766, 0.27599243856332695, 0.30434782608695643]",1.9000000000000008
"[0.27599243856332695, 0.30434782608695643, 0.39886578449905474]",-1.2
"[0.30434782608695643, 0.39886578449905474, 0.3402646502835538]",-1.0000000000000009
"[0.39886578449905474, 0.3402646502835538, 0.3440453686200377]",-1.300000000000001
"[0.3402646502835538, 0.3440453686200377, 0.3383742911153118]",-4.099999999999999
"[0.3440453686200377, 0.3383742911153118, 0.2854442344045368]",-1.099999999999999
"[0.3383742911153118, 0.2854442344045368, 0.3421550094517958]",3.200000000000002
"[0.2854442344045368, 0.3421550094517958, 0.4234404536862003]",-1.399999999999999
"[0.3421550094517958, 0.4234404536862003, 0.3364839319470699]",-2.299999999999999
"[0.4234404536862003, 0.3364839319470699, 0.3194706994328922]",-0.10000000000000098
"[0.3364839319470699, 0.3194706994328922, 0.3610586011342154]",4.000000000000001
"[0.3194706994328922, 0.3610586011342154, 0.438563327032136]",-6.0
"[0.3610586011342154, 0.438563327032136, 0.24952741020793945]",-8.1
"[0.438563327032136, 0.24952741020793945, 0.20982986767485817]",-7.300000000000001
"[0.24952741020793945, 0.20982986767485817, 0.22495274102079388]",-7.300000000000001
"[0.20982986767485817, 0.22495274102079388, 0.22495274102079388]",-5.500000000000001
"[0.22495274102079388, 0.22495274102079388, 0.25897920604914926]",-6.5
"[0.22495274102079388, 0.25897920604914926, 0.2400756143667296]",-2.899999999999999
"[0.25897920604914926, 0.2400756143667296, 0.3081285444234404]",-12.1
"[0.2400756143667296, 0.3081285444234404, 0.13421550094517953]",-13.4
"[0.3081285444234404, 0.13421550094517953, 0.10964083175803396]",-13.3
"[0.13421550094517953, 0.10964083175803396, 0.11153119092627595]",-3.200000000000002
"[0.10964083175803396, 0.11153119092627595, 0.30245746691871445]",3.4999999999999987
"[0.11153119092627595, 0.30245746691871445, 0.42911153119092615]",3.200000000000002
"[0.30245746691871445, 0.42911153119092615, 0.4234404536862003]",-3.799999999999999
"[0.42911153119092615, 0.4234404536862003, 0.2911153119092627]",-4.6000000000000005
"[0.4234404536862003, 0.2911153119092627, 0.27599243856332695]",-9.0
"[0.2911153119092627, 0.27599243856332695, 0.19281663516068048]",-9.2
"[0.27599243856332695, 0.19281663516068048, 0.18903591682419654]",-4.000000000000001
"[0.19281663516068048, 0.18903591682419654, 0.28733459357277874]",-5.899999999999999
"[0.18903591682419654, 0.28733459357277874, 0.25141776937618143]",-7.7
"[0.28733459357277874, 0.25141776937618143, 0.21739130434782603]",-6.2
"[0.25141776937618143, 0.21739130434782603, 0.2457466918714555]",-7.499999999999999
"[0.21739130434782603, 0.2457466918714555, 0.22117202268430997]",-4.8
"[0.2457466918714555, 0.22117202268430997, 0.27221172022684303]",-1.099999999999999
"[0.22117202268430997, 0.27221172022684303, 0.3421550094517958]",-4.400000000000002
"[0.27221172022684303, 0.3421550094517958, 0.27977315689981086]",-6.3
"[0.3421550094517958, 0.27977315689981086, 0.24385633270321355]",-3.200000000000002
"[0.27977315689981086, 0.24385633270321355, 0.30245746691871445]",0.3
"[0.24385633270321355, 0.30245746691871445, 0.3686200378071833]",1.6999999999999988
"[0.30245746691871445, 0.3686200378071833, 0.3950850661625708]",1.999999999999999
"[0.3686200378071833, 0.3950850661625708, 0.40075614366729667]",1.399999999999999
"[0.3950850661625708, 0.40075614366729667, 0.3894139886578449]",-3.200000000000002
"[0.40075614366729667, 0.3894139886578449, 0.30245746691871445]",-1.9000000000000008
"[0.3894139886578449, 0.30245746691871445, 0.32703213610586]",-8.9
"[0.30245746691871445, 0.32703213610586, 0.19470699432892244]",-6.5
"[0.32703213610586, 0.19470699432892244, 0.2400756143667296]",1.099999999999999
"[0.19470699432892244, 0.2400756143667296, 0.383742911153119]",1.6999999999999988
"[0.2400756143667296, 0.383742911153119, 0.3950850661625708]",-1.099999999999999
"[0.383742911153119, 0.3950850661625708, 0.3421550094517958]",-9.1
"[0.3950850661625708, 0.3421550094517958, 0.19092627599243853]",-9.7
"[0.3421550094517958, 0.19092627599243853, 0.17958412098298673]",-7.1
"[0.19092627599243853, 0.17958412098298673, 0.22873345935727782]",-1.999999999999999
"[0.17958412098298673, 0.22873345935727782, 0.3251417769376181]",-1.2
"[0.22873345935727782, 0.3251417769376181, 0.3402646502835538]",-4.099999999999999
"[0.3251417769376181, 0.3402646502835538, 0.2854442344045368]",-4.400000000000002
"[0.3402646502835538, 0.2854442344045368, 0.27977315689981086]",-6.1000000000000005
"[0.2854442344045368, 0.27977315689981086, 0.24763705103969746]",-3.4999999999999987
"[0.27977315689981086, 0.24763705103969746, 0.2967863894139886]",-1.099999999999999
"[0.24763705103969746, 0.2967863894139886, 0.3421550094517958]",1.399999999999999
"[0.2967863894139886, 0.3421550094517958, 0.3894139886578449]",-2.200000000000001
"[0.3421550094517958, 0.3894139886578449, 0.3213610586011341]",-3.100000000000001
"[0.3894139886578449, 0.3213610586011341, 0.30434782608695643]",-8.0
"[0.3213610586011341, 0.30434782608695643, 0.21172022684310013]",-7.000000000000001
"[0.30434782608695643, 0.21172022684310013, 0.23062381852551977]",-8.5
"[0.21172022684310013, 0.23062381852551977, 0.2022684310018903]",-10.4
"[0.23062381852551977, 0.2022684310018903, 0.16635160680529296]",-9.6
"[0.2022684310018903, 0.16635160680529296, 0.1814744801512287]",-5.000000000000002
"[0.16635160680529296, 0.1814744801512287, 0.26843100189035907]",-7.599999999999999
"[0.1814744801512287, 0.26843100189035907, 0.219281663516068]",-7.000000000000001
"[0.26843100189035907, 0.219281663516068, 0.23062381852551977]",-6.4
"[0.219281663516068, 0.23062381852551977, 0.24196597353497157]",-7.000000000000001
"[0.23062381852551977, 0.24196597353497157, 0.23062381852551977]",-5.299999999999999
"[0.24196597353497157, 0.23062381852551977, 0.2627599243856332]",-3.3
"[0.23062381852551977, 0.2627599243856332, 0.3005671077504725]",-3.9
"[0.2627599243856332, 0.3005671077504725, 0.2892249527410207]",-5.200000000000001
"[0.3005671077504725, 0.2892249527410207, 0.26465028355387515]",-7.499999999999999
"[0.2892249527410207, 0.26465028355387515, 0.22117202268430997]",-5.599999999999999
"[0.26465028355387515, 0.22117202268430997, 0.25708884688090733]",-3.3
"[0.22117202268430997, 0.25708884688090733, 0.3005671077504725]",-0.700000000000001
"[0.25708884688090733, 0.3005671077504725, 0.3497164461247636]",-0.40000000000000097
"[0.3005671077504725, 0.3497164461247636, 0.3553875236294895]",-0.10000000000000098
"[0.3497164461247636, 0.3553875236294895, 0.3610586011342154]",-2.5999999999999988
"[0.3553875236294895, 0.3610586011342154, 0.3137996219281663]",-3.5999999999999996
"[0.3610586011342154, 0.3137996219281663, 0.2948960302457466]",-4.099999999999999
"[0.3137996219281663, 0.2948960302457466, 0.2854442344045368]",-2.299999999999999
"[0.2948960302457466, 0.2854442344045368, 0.3194706994328922]",2.299999999999999
"[0.2854442344045368, 0.3194706994328922, 0.40642722117202257]",5.1
"[0.3194706994328922, 0.40642722117202257, 0.4593572778827976]",4.6000000000000005
"[0.40642722117202257, 0.4593572778827976, 0.4499054820415878]",0.700000000000001
"[0.4593572778827976, 0.4499054820415878, 0.37618147448015116]",-3.799999999999999
"[0.4499054820415878, 0.37618147448015116, 0.2911153119092627]",1.9000000000000008
